"filename", "language", "Markdown", "Python", "pip requirements", "Properties", "Docker", "Ini", "YAML", "Shell Script", "Jupyter", "Makefile", "Batch", "comment", "blank", "total"
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\mask_rcnn_r101_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\mask_rcnn_r50_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\mask_rcnn_r50_fpn_mdconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\metafile.yml", "YAML", 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 16, 247
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\deepfashion\README.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 57
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\deepfashion\mask_rcnn_r50_fpn_15e_deepfashion.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\deformable_detr\README.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 32
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\deformable_detr\deformable_detr_r50_16x2_50e_coco.py", "Python", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 173
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\deformable_detr\deformable_detr_refine_r50_16x2_50e_coco.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\deformable_detr\deformable_detr_twostage_refine_r50_16x2_50e_coco.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\deformable_detr\metafile.yml", "YAML", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\detectors\README.md", "Markdown", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 60
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\detectors\cascade_rcnn_r50_rfp_1x_coco.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\detectors\cascade_rcnn_r50_sac_1x_coco.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\detectors\detectors_cascade_rcnn_r50_1x_coco.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\detectors\detectors_htc_r101_20e_coco.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\detectors\detectors_htc_r50_1x_coco.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\detectors\htc_r50_rfp_1x_coco.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
